DB#,Book,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
163,كتاب البيوع,22,5894,27.11.2025,1447/06/06,AUD-20251127-WA0003.m4a,12:14
164,كتاب البيوع,23,5903,30.11.2025,1447/06/09,AUD-20251129-WA0010.m4a,26:07
165,كتاب البيوع,24,5993,13.12.2025,1447/06/22,AUD-20251213-WA0003.m4a,14:21
166,كتاب البيوع,25,5995,13.12.2025,1447/06/22,AUD-20251213-WA0005.m4a,10:30
167,كتاب البيوع,26,5925,02.12.2025,1447/06/11,AUD-20251202-WA0007.m4a,24:15
168,كتاب البيوع,27,5960,08.12.2025,1447/06/17,AUD-20251204-WA0005.m4a,16:12
169,كتاب البيوع,28,5996,13.12.2025,1447/06/22,AUD-20251213-WA0006.m4a,16:12
170,كتاب البيوع,29,5997,13.12.2025,1447/06/22,AUD-20251213-WA0004.m4a,41:02
171,كتاب البيوع,30,6035,18.12.2025,1447/06/27,AUD-20251217-WA0005.m4a,11:39
172,كتاب البيوع,31,6036,18.12.2025,1447/06/27,AUD-20251217-WA0004.m4a,19:41
173,كتاب الفرائض,1,6072,22.12.2025,1447/07/01,AUDIO-2025-12-22-14-05-30.m4a,21:26
174,كتاب الفرائض,2,6080,22.12.2025,1447/07/02,AUDIO-2025-12-22-21-23-10.m4a,20:31
175,كتاب الفرائض,3,6119,30.12.2025,1447/07/09,AUDIO-2025-12-29-22-32-50.m4a,46:49
176,كتاب الفرائض,4,6222,19.01.2026,1447/07/29,AUDIO-2026-01-18-21-18-16.m4a,17:21
177,كتاب الفرائض,5,6283,27.01.2026,1447/08/07,AUDIO-2026-01-26-21-28-55.m4a,23:53
178,كتاب الفرائض,6,6340,02.02.2026,1447/08/13,AUDIO-2026-02-01-22-04-15.m4a,31:59
179,كتاب الفرائض,7,6395,09.02.2026,1447/08/20,AUDIO-2026-02-08-21-21-26.m4a,15:21
180,كتاب الفرائض,8,6405,10.02.2026,1447/08/21,AUDIO-2026-02-09-21-59-45.m4a,28:56
181,كتاب الفرائض,9,6578,31.03.2026,1447/10/10,AUDIO-2026-03-29-23-35-39.m4a,31:05
182,كتاب النكاح,1,6581,31.03.2026,1447/11/10,AUDIO-2026-03-30-21-50-32.m4a,10:40
183,كتاب النكاح,2,6686,08.04.2026,1447/18/10,AUDIO-2026-04-06-21-46-52.m4a,25:06
184,كتاب النكاح,3,6802,16.04.2026,1447/10/24,AUDIO-2026-04-13-02-48-27.m4a,19:42
185,كتاب النكاح,4,6807,16.04.2026,1447/10/25,AfnanNadiyyah.m4a,22:58
186,كتاب النكاح,5,6856,20.04.2026,1447/11/02,AUDIO-2026-04-19-21-56-10.m4a,21:35
187,كتاب النكاح,6,6879,24.04.2026,1447/11/03,AUDIO-2026-04-20-22-44-13.m4a,10:45
188,كتاب النكاح,7,6947,29.04.2026,1447/11/09,AUDIO-2026-04-26-22-47-52.m4a,15:29
189,كتاب النكاح,8,6950,29.04.2026,1447/11/10,AUDIO-2026-04-27-21-42-44.m4a,11:42
190,كتاب النكاح,9,7062,03.05.2026,1447/11/16,تسجيل جديد ٦٤٥.m4a,19:19
191,كتاب النكاح,9,7081,04.05.2026,1447/11/16,AUDIO-2026-05-03-21-54-27.m4a,19:18
192,كتاب النكاح,10,7135,08.05.2026,1447/11/17,AUDIO-2026-05-04-21-48-28.m4a,15:59
193,كتاب النكاح,11,7212,12.05.2026,1447/11/23,AUDIO-2026-05-10-21-50-47.m4a,13:44
194,كتاب النكاح,12,7225,12.05.2026,1447/11/24,AUDIO-2026-05-11-21-53-36.m4a,17:52
195,كتاب النكاح,13,7349,18.05.2026,1447/11/30,AUDIO-2026-05-17-22-26-07.m4a,19:32
196,كتاب النكاح,14,7430,21.05.2026,1447/11/30,AUDIO-2026-05-18-21-43-24.m4a,10:32
