DB#	Ch#	MsgID	GregDate	HijriDate	AudioFilename	Title	Duration
300	300	5817	26/10/2025	1447/02/05	AUD-20251026-WA0003.m4a	وقفات مع السيرة النبوية(٣)	10:45
301	301	5899	28/11/2025	1447/06/07	AUDIO-2025-11-28-23-15-18.m4a	السيرة النبوية (٦)	12:16
302	302	5945	08/12/2025	1447/06/17	Ringtone_AUD-20251207-WA0004.mp3	أهمية النزاهة والأمانة، ومكافحة الفساد المالي	10:07
303	303	6004	13/12/2025	1447/05/16	AUD-20251213-WA0011.m4a	وقفات مع السيرة النبوية (٤)	10:39
304	304	6005	13/12/2025	1447/05/23	AUD-20251213-WA0012.mp3	وقفات مع السيرة النبوية (٥)	9:49
305	305	6006	13/12/2025	1447/06/21	AUD-20251213-WA0013.m4a	(( عناية الإسلام بالمرأة ))	10:17
306	306	6046	19/12/2025	1447/06/28	AUDIO-2025-12-19-17-36-02.m4a	وقفات مع السيرة النبوية (٧)	10:27
307	307	6101	26/12/2025	1447/07/06	AUDIO-2025-12-26-14-10-13.m4a	بدع شهر رجبلفضيلة الشيخ: حسن بن محمد منصور الدغريري – حفظه الله –	9:40
308	308	6155	02/01/2026	1447/07/12	AUD-20260102-WA0003.mp3	وقفات مع السيرة النبوية (٨)	12:27
309	309	6195	16/01/2026	1447/07/27	AUDIO-2026-01-16-14-51-11.m4a	وقفات مع السيرة النبوية (٩)	12:26
310	310	6251	23/01/2026	1447/08/04	AUDIO-2026-01-23-13-07-41.m4a	تيسير تكاليف الزواج	11:24
311	311	6316	30/01/2026	1447/08/11	AUDIO-2026-01-30-13-06-37.m4a	أعمال صالحة في شهر شعبان (١)	10:34
312	312	6432	13/02/2026	1447/08/25	AUDIO-2026-02-13-13-15-20.m4a	أعمال صالحة في شهر شعبان (٢)	9:50
313	313	6456	20/02/2026	1447/09/03	خطبة الجمعة 3-9-1447.m4a	فضل رمضان، والأعمال الصالحة فيه	11:43
314	314	6482	27/02/2026	1447/09/10	AUDIO-2026-02-27-19-04-52.m4a	آداب واجبةٌ ومستحبةٌ في شهر الصيام	11:33
315	315	6499	06/03/2026	1447/09/17	خطبة الجمعة 17-9-1447.m4a	نعمة الأمن وأسباب استدامته	10:49
316	316	6515	13/03/2026	1447/09/24	AUDIO-2026-03-13-17-27-21.m4a	عبادات تشرع في نهاية رمضان	13:00
317	317	6532	19/03/2026	1438/09/28	4_6005569134098648111.m4a	زكاة الفطر	14:29
318	318	6537	19/03/2026	1447/09/30	AUD-20250329-WA0001-[AudioTrimmer.com].m4a	حديث: «فرض رسول الله زكاة الفطر ..»	10:00
319	319	6544	21/03/2026	1447/10/01	AUDIO-2026-03-20-13-01-56.m4a	فضل الصيام	6:21
320	320	6645	05/04/2026	1447/10/15	خطبة الجمعة 15-10-1447.m4a	الثلاث مسائل في العقيدة	12:02
321	321	6744	12/04/2026	1447/10/22	Khutba22shawwal.m4a	المسائل الأربع في العقيدة	10:03
322	322	6850	20/04/2026	1447/10/29	Khutba.m4a	الفتن وأسباب الوقاية منها	13:39
323	323	6885	24/04/2026	1447/11/07	Khutba.m4a	مكانة المساجد والحذر من اذية المصلين	10:00
324	324	7211	12/05/2026	1447/11/21	KhutbaAI.m4a	الذكاء الاصطناعي و مواقع التواصل الاجتماعي	9:47
325	325	7269	15/05/2026	1447/11/28	خطبه الجمعه.m4a	توجيهات متعلقة بالحج	13:03
326	326	7448	22/05/2026	1447/12/05	AUD-20260522-WA0041.m4a	افضل ايام العشر	10:38
327	327	7497	29/05/2026	1447/12/12	AUDIO-2026-05-29-12-55-24.m4a	بعض آيات الحج من سورة البقرة	13:58
